image_name,seed_no,side,label
front_S10.jpg,S10,front,1
front_S9.jpg,S9,front,1
left_S10.jpg,S10,left,1
left_S9.jpg,S9,left,1
rear_S10.jpg,S10,rear,1
rear_S9.jpg,S9,rear,1
right_S10.jpg,S10,right,1
right_S9.jpg,S9,right,1
top_S10.jpg,S10,top,1
top_S9.jpg,S9,top,1
front_S10.jpg,S10,front,0
front_S11.jpg,S11,front,0
front_S12.jpg,S12,front,0
left_S10.jpg,S10,left,0
left_S11.jpg,S11,left,0
left_S12.jpg,S12,left,0
rear_S10.jpg,S10,rear,0
rear_S11.jpg,S11,rear,0
rear_S12.jpg,S12,rear,0
right_S10.jpg,S10,right,0
right_S11.jpg,S11,right,0
right_S12.jpg,S12,right,0
top_S10.jpg,S10,top,0
top_S11.jpg,S11,top,0
top_S12.jpg,S12,top,0
