Source_path,Seed_output_path,top_left_x,top_left_y,bottom_right_x,bottom_right_y
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 3.png,1754,901,1929,1100
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 3.png,1754,901,1929,1100
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 4.png,2578,885,2714,1074
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 3.png,1754,901,1929,1100
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 4.png,2578,885,2714,1074
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 5.png,3134,880,3314,1066
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 3.png,1754,901,1929,1100
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 4.png,2578,885,2714,1074
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 5.png,3134,880,3314,1066
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 6.png,2156,823,2394,968
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 3.png,1754,901,1929,1100
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 4.png,2578,885,2714,1074
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 5.png,3134,880,3314,1066
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 6.png,2156,823,2394,968
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 7.png,2501,623,2647,820
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 1.png,1516,1581,1825,1776
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 2.png,1983,1106,2215,1287
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 3.png,1754,901,1929,1100
left_S10.jpg,F:\CompV\Multiview_jpg\Bad seeds\Bad seeds - set 10\Set 10 - left Segmented Seed 4.png,2578,885,2714,1074
